"A201","A20S","A20A4",1,2,70,240
"A202","A20A4","A20S109",1,3,100,0
"A203","A20S109","A20A16",1,3,80,0
"A204","A20A16","A20E",1,2,120,0
"A41","A4S","A20A4",1,4,100,120
"A42","A20A4","S114A4",1,4,100,0
"A43","S114A4","A15A4",1,4,100,0
"A44","A15A4","A4E",1,3,120,0
"A151","A15S","A15A4",1,2,100,120
"A152","A15A4","A15A29",1,3,120,0
"A153","A15A29","A15A16",1,3,120,0
"A154","A15A16","A15E",1,2,120,0
"A13","A20S109","A13E",1,3,100,0
"A29","A15A29","A29E",1,2,120,0
"A161","A20A16","S105A16",1,6,120,0
"A162","S105A16","A15A16",1,6,120,0
"A163","A15A16","A16E",1,3,130,0
"S109","A20S109","Inter",1,2,50,0
"S114","S114A4","Inter",1,2,50,0
"S105","Inter","S105A16",1,2,50,0
"S102","Inter","A15A29",1,2,50,0